Time,Log
2019/02/14 13:53:51,自動発注処理を開始します
2019/02/14 13:53:51,[1/9]:閾値読込
2019/02/14 13:53:51,読み込み完了しました。
2019/02/14 13:53:51,閾値一覧
2019/02/14 13:53:51,閾値1:15/1  
2019/02/14 13:53:51,閾値2:10/1  
2019/02/14 13:53:51,閾値3:10/1  
2019/02/14 13:53:52,閾値4:9/1  
2019/02/14 13:53:52,閾値5:8/1  
2019/02/14 13:53:52,閾値6:7/1  
2019/02/14 13:53:52,[2/9]:自動発注商品絞り込みを開始します
2019/02/14 13:53:52,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 13:53:52,-商品ID-                     -在庫数-
2019/02/14 13:53:52,97840410262291920193005608 / 0
2019/02/14 13:53:52,97840486941241920093016001 / 3
2019/02/14 13:53:52,97840489328371920193006506 / 0
2019/02/14 13:53:52,97843444273031920193007305 / 6
2019/02/14 13:53:52,97846456722565477845015644 / 2
2019/02/14 13:53:52,計5件ヒットしました
2019/02/14 13:53:52,[3/9]発注リストに追加します。
2019/02/14 13:53:52,発注ID[20190214001]:完了
2019/02/14 13:53:52,発注ID[20190214002]:完了
2019/02/14 13:53:52,発注ID[20190214003]:完了
2019/02/14 13:53:53,発注ID[20190214004]:完了
2019/02/14 13:53:53,発注ID[20190214005]:完了
2019/02/14 13:53:53,[4/9]:発注明細リストに追加します。
2019/02/14 13:53:53,発注ID[20190214001]:完了
2019/02/14 13:53:53,発注ID[20190214002]:完了
2019/02/14 13:53:54,発注ID[20190214003]:完了
2019/02/14 13:53:54,発注ID[20190214004]:完了
2019/02/14 13:53:54,発注ID[20190214005]:完了
2019/02/14 13:53:54,[5/9]:入庫確定リストに入庫予定を追加します。
2019/02/14 13:53:55,商品ID[97840410262291920193005608]:完了
2019/02/14 13:53:55,商品ID[97840486941241920093016001]:完了
2019/02/14 13:53:55,商品ID[97840489328371920193006506]:完了
2019/02/14 13:53:55,商品ID[97843444273031920193007305]:完了
2019/02/14 13:53:56,商品ID[97846456722565477845015644]:完了
2019/02/14 13:53:56,[6/9]:(ランクイン商品)自動発注商品絞り込みを開始します
2019/02/14 13:53:56,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 13:53:56,-商品ID-                    -在庫数-
2019/02/14 13:53:57,97840489328371920193006506 / 10
2019/02/14 13:53:57,計1件ヒットしました
2019/02/14 13:53:57,[7/9]:(ランクイン商品)発注リストに追加します。
2019/02/14 13:53:57,発注ID[20190214007]:完了
2019/02/14 13:53:57,[8/9]:(ランクイン商品)発注明細リストに追加します。
2019/02/14 13:53:57,発注ID[20190214007]:完了
2019/02/14 13:53:57,[9/9]:(ランクイン商品)入庫確定リストに入庫予定を追加します。
2019/02/14 13:53:57,商品ID[97840410262291920193005608]:完了
2019/02/14 13:53:58,自動発注処理が完了しました。
