Time,Log
2019/02/14 12:02:42,自動発注処理を開始します
2019/02/14 12:02:42,[1/9]:閾値読込
2019/02/14 12:02:43,読み込み完了しました。
2019/02/14 12:02:43,閾値一覧
2019/02/14 12:02:43,閾値1:15/1  
2019/02/14 12:02:43,閾値2:10/1  
2019/02/14 12:02:43,閾値3:10/1  
2019/02/14 12:02:43,閾値4:9/1  
2019/02/14 12:02:43,閾値5:8/1  
2019/02/14 12:02:43,閾値6:7/1  
2019/02/14 12:02:43,[2/9]:自動発注商品絞り込みを開始します
2019/02/14 12:02:43,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 12:02:43,-商品ID-                     -在庫数-
2019/02/14 12:02:44,97840410262291920193005608 / 0
2019/02/14 12:02:44,97840486941241920093016001 / 3
2019/02/14 12:02:44,97843444273031920193007305 / 6
2019/02/14 12:02:44,97846456722565477845015644 / 2
2019/02/14 12:02:44,計4件ヒットしました
2019/02/14 12:02:44,[3/9]発注リストに追加します。
2019/02/14 12:02:44,発注ID[20190214001]:エラー
2019/02/14 12:02:44,発注ID[20190214002]:エラー
2019/02/14 12:02:44,発注ID[20190214003]:エラー
2019/02/14 12:02:44,発注ID[20190214004]:エラー
2019/02/14 12:02:45,[4/9]:発注明細リストに追加します。
2019/02/14 12:02:45,発注ID[20190214001]:エラー
2019/02/14 12:02:45,発注ID[20190214002]:エラー
2019/02/14 12:02:45,発注ID[20190214003]:エラー
2019/02/14 12:02:46,発注ID[20190214004]:エラー
2019/02/14 12:02:46,[5/9]:入庫確定リストに入庫予定を追加します。
2019/02/14 12:02:46,商品ID[97840410262291920193005608]:エラー
2019/02/14 12:02:46,商品ID[97840486941241920093016001]:エラー
2019/02/14 12:02:47,商品ID[97843444273031920193007305]:エラー
2019/02/14 12:02:47,商品ID[97846456722565477845015644]:エラー
2019/02/14 12:02:47,[6/9]:(ランクイン商品)自動発注商品絞り込みを開始します
2019/02/14 12:02:47,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 12:02:47,-商品ID-                    -在庫数-
2019/02/14 12:02:48,97840410262291920193005608 / 3
2019/02/14 12:02:48,計1件ヒットしました
2019/02/14 12:02:48,[7/9]:(ランクイン商品)発注リストに追加します。
2019/02/14 12:02:48,発注ID[20190214006]:エラー
2019/02/14 12:02:48,[8/9]:(ランクイン商品)発注明細リストに追加します。
2019/02/14 12:02:48,発注ID[20190214006]:エラー
2019/02/14 12:02:48,[9/9]:(ランクイン商品)入庫確定リストに入庫予定を追加します。
2019/02/14 12:02:48,商品ID[97840410262291920193005608]:エラー
2019/02/14 12:02:49,自動発注処理が完了しました。
