Time,Log
2019/02/14 12:04:29,自動発注処理を開始します
2019/02/14 12:04:29,[1/9]:閾値読込
2019/02/14 12:04:29,読み込み完了しました。
2019/02/14 12:04:29,閾値一覧
2019/02/14 12:04:29,閾値1:15/1  
2019/02/14 12:04:29,閾値2:10/1  
2019/02/14 12:04:29,閾値3:10/1  
2019/02/14 12:04:30,閾値4:9/1  
2019/02/14 12:04:30,閾値5:8/1  
2019/02/14 12:04:30,閾値6:7/1  
2019/02/14 12:04:30,[2/9]:自動発注商品絞り込みを開始します
2019/02/14 12:04:30,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 12:04:30,-商品ID-                     -在庫数-
2019/02/14 12:04:30,97840410262291920193005608 / 0
2019/02/14 12:04:30,97840486941241920093016001 / 3
2019/02/14 12:04:30,97843444273031920193007305 / 6
2019/02/14 12:04:30,97846456722565477845015644 / 2
2019/02/14 12:04:30,計4件ヒットしました
2019/02/14 12:04:30,[3/9]発注リストに追加します。
2019/02/14 12:04:30,発注ID[20190214001]:エラー
2019/02/14 12:04:30,発注ID[20190214002]:エラー
2019/02/14 12:04:31,発注ID[20190214003]:エラー
2019/02/14 12:04:31,発注ID[20190214004]:エラー
2019/02/14 12:04:31,[4/9]:発注明細リストに追加します。
2019/02/14 12:04:31,発注ID[20190214001]:エラー
2019/02/14 12:04:31,発注ID[20190214002]:エラー
2019/02/14 12:04:32,発注ID[20190214003]:エラー
2019/02/14 12:04:32,発注ID[20190214004]:エラー
2019/02/14 12:04:32,[5/9]:入庫確定リストに入庫予定を追加します。
2019/02/14 12:04:32,商品ID[97840410262291920193005608]:エラー
2019/02/14 12:04:33,商品ID[97840486941241920093016001]:エラー
2019/02/14 12:04:33,商品ID[97843444273031920193007305]:エラー
2019/02/14 12:04:33,商品ID[97846456722565477845015644]:エラー
2019/02/14 12:04:33,[6/9]:(ランクイン商品)自動発注商品絞り込みを開始します
2019/02/14 12:04:33,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 12:04:33,-商品ID-                    -在庫数-
2019/02/14 12:04:34,97840410262291920193005608 / 3
2019/02/14 12:04:34,計1件ヒットしました
2019/02/14 12:04:34,[7/9]:(ランクイン商品)発注リストに追加します。
2019/02/14 12:04:34,発注ID[20190214006]:エラー
2019/02/14 12:04:34,[8/9]:(ランクイン商品)発注明細リストに追加します。
2019/02/14 12:04:35,発注ID[20190214006]:エラー
2019/02/14 12:04:35,[9/9]:(ランクイン商品)入庫確定リストに入庫予定を追加します。
2019/02/14 12:04:35,商品ID[97840410262291920193005608]:エラー
2019/02/14 12:04:35,自動発注処理が完了しました。
