Time,Log
2019/02/14 15:47:52,自動発注処理を開始します
2019/02/14 15:47:52,[1/9]:閾値読込
2019/02/14 15:47:53,読み込み完了しました。
2019/02/14 15:47:53,閾値一覧
2019/02/14 15:47:53,閾値1:15/1  
2019/02/14 15:47:53,閾値2:10/1  
2019/02/14 15:47:53,閾値3:10/1  
2019/02/14 15:47:53,閾値4:9/1  
2019/02/14 15:47:53,閾値5:8/1  
2019/02/14 15:47:53,閾値6:7/1  
2019/02/14 15:47:53,[2/9]:自動発注商品絞り込みを開始します
2019/02/14 15:47:53,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 15:47:53,-商品ID-                     -在庫数-
2019/02/14 15:47:53,97840410262291920193005608 / 0
2019/02/14 15:47:53,97840486941241920093016001 / 3
2019/02/14 15:47:53,97840489328371920193006506 / 0
2019/02/14 15:47:53,97843444273031920193007305 / 6
2019/02/14 15:47:53,97846456722565477845015644 / 2
2019/02/14 15:47:53,計5件ヒットしました
2019/02/14 15:47:53,[3/9]発注リストに追加します。
2019/02/14 15:47:53,発注ID[20190214001]:完了
2019/02/14 15:47:54,発注ID[20190214002]:完了
2019/02/14 15:47:54,発注ID[20190214003]:完了
2019/02/14 15:47:54,発注ID[20190214004]:完了
2019/02/14 15:47:54,発注ID[20190214005]:完了
2019/02/14 15:47:54,[4/9]:発注明細リストに追加します。
2019/02/14 15:47:54,発注ID[20190214001]:完了
2019/02/14 15:47:55,発注ID[20190214002]:完了
2019/02/14 15:47:55,発注ID[20190214003]:完了
2019/02/14 15:47:55,発注ID[20190214004]:完了
2019/02/14 15:47:56,発注ID[20190214005]:完了
2019/02/14 15:47:56,[5/9]:入庫確定リストに入庫予定を追加します。
2019/02/14 15:47:56,商品ID[97840410262291920193005608]:完了
2019/02/14 15:47:56,商品ID[97840486941241920093016001]:完了
2019/02/14 15:47:56,商品ID[97840489328371920193006506]:完了
2019/02/14 15:47:57,商品ID[97843444273031920193007305]:完了
2019/02/14 15:47:57,商品ID[97846456722565477845015644]:完了
2019/02/14 15:47:57,[6/9]:(ランクイン商品)自動発注商品絞り込みを開始します
2019/02/14 15:47:57,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 15:47:57,-商品ID-                    -在庫数-
2019/02/14 15:47:58,97840489328371920193006506 / 12
2019/02/14 15:47:58,計1件ヒットしました
2019/02/14 15:47:58,[7/9]:(ランクイン商品)発注リストに追加します。
2019/02/14 15:47:58,発注ID[20190214007]:完了
2019/02/14 15:47:58,[8/9]:(ランクイン商品)発注明細リストに追加します。
2019/02/14 15:47:58,発注ID[20190214007]:完了
2019/02/14 15:47:58,[9/9]:(ランクイン商品)入庫確定リストに入庫予定を追加します。
2019/02/14 15:47:59,商品ID[97840410262291920193005608]:完了
2019/02/14 15:47:59,自動発注処理が完了しました。
