Time,Log
2019/02/15 00:29:02,自動発注処理を開始します
2019/02/15 00:29:02,[1/9]:閾値読込
2019/02/15 00:29:02,読み込み完了しました。
2019/02/15 00:29:02,閾値一覧
2019/02/15 00:29:02,閾値1:15/1  
2019/02/15 00:29:02,閾値2:10/1  
2019/02/15 00:29:02,閾値3:10/1  
2019/02/15 00:29:02,閾値4:9/1  
2019/02/15 00:29:02,閾値5:8/1  
2019/02/15 00:29:02,閾値6:7/1  
2019/02/15 00:29:02,[2/9]:自動発注商品絞り込みを開始します
2019/02/15 00:29:02,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/15 00:29:02,-商品ID-                     -在庫数-
2019/02/15 00:29:03,97840486941241920093016001 / 3
2019/02/15 00:29:03,97840489328371920193006506 / 0
2019/02/15 00:29:03,97843444273031920193007305 / 6
2019/02/15 00:29:03,97846456722565477845015644 / 2
2019/02/15 00:29:03,計4件ヒットしました
2019/02/15 00:29:03,[3/9]発注リストに追加します。
2019/02/15 00:29:03,発注ID[20190215001]:エラー
2019/02/15 00:29:03,発注ID[20190215002]:エラー
2019/02/15 00:29:03,発注ID[20190215003]:エラー
2019/02/15 00:29:03,発注ID[20190215004]:エラー
2019/02/15 00:29:03,[4/9]:発注明細リストに追加します。
2019/02/15 00:29:04,発注ID[20190215001]:エラー
2019/02/15 00:29:04,発注ID[20190215002]:エラー
2019/02/15 00:29:04,発注ID[20190215003]:エラー
2019/02/15 00:29:04,発注ID[20190215004]:エラー
2019/02/15 00:29:04,[5/9]:入庫確定リストに入庫予定を追加します。
2019/02/15 00:29:05,商品ID[97840486941241920093016001]:エラー
2019/02/15 00:29:05,商品ID[97840489328371920193006506]:エラー
2019/02/15 00:29:05,商品ID[97843444273031920193007305]:エラー
2019/02/15 00:29:05,商品ID[97846456722565477845015644]:エラー
2019/02/15 00:29:05,[6/9]:(ランクイン商品)自動発注商品絞り込みを開始します
2019/02/15 00:29:05,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/15 00:29:06,-商品ID-                    -在庫数-
2019/02/15 00:29:06,97840489328371920193006506 / 12
2019/02/15 00:29:06,計1件ヒットしました
2019/02/15 00:29:06,[7/9]:(ランクイン商品)発注リストに追加します。
2019/02/15 00:29:06,発注ID[20190215006]:エラー
2019/02/15 00:29:06,[8/9]:(ランクイン商品)発注明細リストに追加します。
2019/02/15 00:29:06,発注ID[20190215006]:エラー
2019/02/15 00:29:07,[9/9]:(ランクイン商品)入庫確定リストに入庫予定を追加します。
2019/02/15 00:29:07,商品ID[97840486941241920093016001]:エラー
2019/02/15 00:29:07,自動発注処理が完了しました。
